SID,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
8,20,1,2,2,1,1033.39,nonwex2_1.png
8,21,2,3,2,1,1669.75,nonwex11.png
8,22,2,3,1,1,1090,nonwin8.png
8,23,2,2,2,1,1190.07,nonwex2_5.png
8,24,1,2,1,1,994.52,nonwin9.png
8,25,2,4,2,1,1134.78,nonwin7.png
8,26,1,1,1,1,947.04,nonwex2_2.png
8,27,1,3,1,1,967.24,nonwin4.png
8,28,2,3,2,1,931.58,nonwex4.png
8,29,1,2,2,1,1063.77,nonwin2_12.png
8,30,2,3,2,1,1540.12,nonwin1.png
8,31,2,4,1,1,896.36,nonwin2_1.png
8,32,1,4,1,1,772.56,nonwin2_5.png
8,33,1,4,2,1,848.82,nonwin11.png
8,34,1,1,2,1,893.11,nonwex7.png
8,35,2,1,2,1,841.42,nonwex2_8.png
8,36,2,2,1,1,877.62,nonwin6.png
8,37,2,3,2,1,993.94,nonwin2_11.png
8,38,1,1,1,1,1093.98,nonwin3.png
8,39,2,1,1,1,850.47,nonwex3.png
8,40,2,2,2,1,926.75,nonwex6.png
8,41,1,3,2,1,1146.97,nonwex2_10.png
8,42,2,1,1,1,1207.28,nonwex2_6.png
8,43,1,4,1,1,1099.56,nonwex2_4.png
8,44,2,1,2,1,887.81,nonwex8.png
8,45,1,3,1,1,1132.08,nonwex10.png
8,46,1,3,2,1,984.29,nonwex5.png
8,47,1,1,1,1,1124.53,nonwex9.png
8,48,2,2,1,1,1232.88,nonwex2_11.png
9,1,1,3,0,0,0,nonwex2_11.png
9,2,1,2,1,1,1369.57,nonwex2_7.png
9,3,2,1,1,1,1326.83,nonwex2_12.png
9,4,2,1,2,1,1476.16,nonwex2_4.png
9,5,1,1,2,1,1617.38,nonwex2_6.png
9,6,2,4,1,1,1878.7,nonwex9.png
9,7,2,2,1,1,1467.97,nonwex12.png
9,8,2,3,1,1,1153.24,nonwex10.png
9,9,2,4,2,1,1358.53,nonwin2_9.png
9,10,1,3,2,1,1787.6,nonwin2_7.png
